ID_PONTO	NOME_VIA	LONG	LAT
263	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90753	-8.08641
264	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90763	-8.0869
265	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90765	-8.08697
266	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90767	-8.08707
267	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90788	-8.08804
268	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90799	-8.08856
269	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90811	-8.08904
270	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9082	-8.0894
271	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90823	-8.08957
272	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90831	-8.08992
273	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90835	-8.09008
274	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90839	-8.09023
275	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90843	-8.09037
276	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90853	-8.09082
277	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90859	-8.09109
278	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9086	-8.09117
279	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90863	-8.09129
280	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90866	-8.0914
281	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90867	-8.09145
282	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90906	-8.09322
283	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90923	-8.09399
284	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90934	-8.0945
285	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90957	-8.09548
286	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9098	-8.09646
287	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9099	-8.09691
288	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90996	-8.09719
289	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91002	-8.09747
290	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91008	-8.09775
291	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91012	-8.09804
292	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91016	-8.09832
293	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91017	-8.09839
294	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91017	-8.09845
295	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91025	-8.09979
296	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91027	-8.10024
297	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91032	-8.10065
298	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91045	-8.10137
299	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91051	-8.10168
300	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91065	-8.10235
301	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91073	-8.10272
302	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91091	-8.10361
303	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91092	-8.10369
304	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91115	-8.10476
305	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91117	-8.10489
306	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91138	-8.10592
307	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91146	-8.10636
308	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91162	-8.1072
309	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91166	-8.10744
310	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91169	-8.10763
311	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91189	-8.1086
312	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91192	-8.1088
313	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91197	-8.10903
314	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91211	-8.10959
315	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91219	-8.11001
316	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91236	-8.11094
317	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91246	-8.11141
318	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91264	-8.1123
319	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91269	-8.11255
320	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91316	-8.11491
321	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91319	-8.11509
322	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9133	-8.11559
323	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91338	-8.11609
324	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9134	-8.11623
325	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91364	-8.11739
326	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91378	-8.11813
327	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91384	-8.11859
328	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91393	-8.11904
329	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91396	-8.11922
330	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91399	-8.1194
331	Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91436	-8.12134
332	Rua Cosme Viana	-34.90975815107413	-8.062249407703696
333	Rua Cosme Viana	-34.90971988244532	-8.062424116777587
334	Rua Cosme Viana	-34.90968089328477	-8.062611880058132
335	Rua Cosme Viana	-34.90964893713108	-8.062799026195409
336	Rua Cosme Viana	-34.90959394609048	-8.063075298156491
337	Rua Cosme Viana	-34.90953704176472	-8.063360344535473
338	Rua Cosme Viana	-34.90946410811247	-8.06372805606593
339	Rua Cosme Viana	-34.909333482715354	-8.064379648948686
340	Rua Cosme Viana	-34.90931214928983	-8.064498179953974
341	Rua Cosme Viana	-34.909258136159934	-8.06477464218505
