ID_AREA	NOME_AREA	TIPO_AREA	LAT	LONG
386	Da Rua Rosa M De Melo	Praça	-8.108636596	-34.92682751
387	Do  S	Praça	-8.122273432	-34.94705778
388	Todos Os Santos	Praça	-8.121080341	-34.95345689
389	Da Rua Jatobá	Praça	-8.123667543	-34.94645226
390	Vitoria Do Povo	Praça	-8.118321894	-34.94616099
391	Geraldo Vilas Boas	Praça	-8.131276898	-34.94911435
392	Dalva De Oliveira	Praça	-8.116224924	-34.94646448
393	Da Rua Quintino Bocaiuva	Praça	-8.115533124	-34.91762026
394	Da Rua Clotilde Machado Ii	Praça	-8.107275838	-34.92177898
395	Da Rua Clotilde Machado  I	Praça	-8.107671976	-34.92143116
396	Prof. Jeronimo Gueiros	Praça	-8.13499924	-34.9400395
397	Da Rua Jose Rodrigues	Praça	-8.090992837	-34.89257984
398	Da Rua Guarabira	Praça	-8.114097516	-34.9074951
399	Campo De Pelada Carlos Rios	Praça	-8.085727266	-34.91051676
400	Do Terminal De Ônibus Da Ur-2	Praça	-8.114574472	-34.95533183
401	Da Av Senador Robert Kennedy	Praça	-8.117619511	-34.91837467
402	Da Chesf	Praça	-8.062636847	-34.93095874
403	Do Bueirao	Praça	-8.046109959	-34.91386863
404	Jacarezinho	Praça	-8.018500505	-34.88289503
405	Chao De Estrelas	Praça	-8.020573233	-34.87994024
406	Novaes Filho	Praça	-8.016610587	-34.8819309
407	Do Iml	Praça	-8.11286166	-34.94932137
408	Getulio Vargas	Praça	-8.054004913	-34.92272441
409	Santa Lucia	Praça	-8.039151075	-34.93011995
410	Chico Scince	Praça	-8.061929077	-34.90169642
411	Dr Jose De Melo	Praça	-8.032712668	-34.90740837
412	Dr Jose De Melo	Praça	-8.032659255	-34.90713144
413	Alto Da Serrinha	Praça	-8.012648303	-34.90931455
414	Alto Da Serrinha	Praça	-8.012563637	-34.90911644
415	Arão Botler	Praça	-8.008670426	-34.88814566
416	Treze De Junho	Praça	-8.028282743	-34.894669
417	Treze De Junho	Praça	-8.028376755	-34.89501515
418	Das Flores	Praça	-8.033250341	-34.89383251
419	Encanamento	Praça	-8.031791658	-34.91409823
420	Bambu	Praça	-8.121702686	-34.9544336
421	Da Biblia	Praça	-7.964861101	-34.92333092
422	Souto Filho	Praça	-8.036102966	-34.90287433
423	Prof. Calazans	Praça	-8.050560695	-34.91019588
424	Odília Freire Dos Santos	Praça	-8.04948682	-34.89307306
425	Aureo Xavier / Des Adauto C De Araujo	Praça	-8.050663593	-34.92580564
426	Aureo Xavier/ Des Adauto C De Araujo	Praça	-8.050232683	-34.92658325
427	Cosme Viana	Praça	-8.065654813	-34.90883536
428	Industrial Miguel Santos	Praça	-8.101388665	-34.88607995
429	Esmeraldas	Praça	-8.114716636	-34.94712554
430	Jockey Clube	Praça	-8.061409382	-34.91336654
431	São Francisco/ Amante Das Flores	Praça	-8.115585041	-34.94599427
432	Conselheiro João Alfredo / Sobrado Grande	Praça	-8.057328865	-34.908882
433	Conselheiro João Alfredo	Praça	-8.056885206	-34.90932343
434	Do Anfiteatro	Praça	-8.001463173	-34.935715
435	Chayenne	Praça	-8.006060549	-34.8922996
436	Castro Alves	Praça	-8.04000747	-34.88705319
437	Bomba Do Hemeterio	Praça	-8.020226629	-34.90323444
438	Alfredo Ozório	Praça	-8.029367443	-34.90649245
439	Ayrton Senna	Praça	-8.113411477	-34.951048
440	Virgilio De Oliveira	Praça	-8.037376007	-34.92241367
441	3º Jardim De Boa Viagem	Praça	-8.10823516	-34.88845837
442	Sargento  Max Wolf Filho	Praça	-8.071654519	-34.9114084
443	Largo Dona Regina	Praça	-8.018561394	-34.92618305
444	Heiji Gemba	Praça	-8.132921301	-34.90436301
445	Dr Alberto Wanderley	Praça	-8.009162474	-34.88836702
446	Gustavo Barrozo	Praça	-8.012405066	-34.91221086
447	São Pedro	Praça	-8.088754849	-34.88035131
448	Poço Da Panela	Praça	-8.037073095	-34.92546349
449	Sarturnino De Brito	Praça	-8.079493912	-34.89299581
450	Casa Forte	Praça	-8.034613064	-34.9193523
451	Sérgio Loreto	Praça	-8.07266317	-34.88476982
452	Da Rua Olivia Menelau	Area Verde	-8.089426489	-34.91032224
453	Da Avenida Izabel De Goes	Area Verde	-8.090526773	-34.92996294
454	Da Avenida Mario Alvares Pereira De Lyra	Area Verde	-8.04759017	-34.94038368
455	Da Rua Benfica	Area Verde	-8.058779315	-34.9025264
456	Canavial	Praça	-8.000901107	-34.90160325
457	Da Avenida Historiador Jordao Emerenciano	Area Verde	-8.035896445	-34.94310322
458	Da Rua Alberico Glasner Da Rocha	Praça	-8.023210481	-34.95766712
459	Monsenhor Francisco Apolonio  Jorge Sales	Praça	-8.056381656	-34.89004205
460	Da Rua Joaquim De Brito	Praça	-8.063147243	-34.89352903
461	Dr  Pedro Cavalcanti	Praça	-8.03517934	-34.90017692
462	Joao Pereira Borges	Praça	-8.054339208	-34.90179053
463	Da Criança Alexandra Vilma Dias	Praça	-8.119642827	-34.95056318
